2026-07-18 23:23:28 | INFO | full_file_watcher.py:66 | _on_changes | delete_file /Users/gracexiao/.qwenpaw/workspaces/route/MEMORY.md
2026-07-18 23:23:28 | INFO | full_file_watcher.py:69 | _on_changes | Upserted 1 chunks for /Users/gracexiao/.qwenpaw/workspaces/route/MEMORY.md
2026-07-18 23:23:28 | INFO | full_file_watcher.py:78 | _on_changes | File 2 changed: /Users/gracexiao/.qwenpaw/workspaces/route/MEMORY.md
2026-07-18 23:23:28 | INFO | base_file_watcher.py:223 | on_changes | [FullFileWatcher] on_changes: {(<Change.modified: 2>, '/Users/gracexiao/.qwenpaw/workspaces/route/MEMORY.md')}
2026-07-18 23:23:32 | INFO | full_file_watcher.py:66 | _on_changes | delete_file /Users/gracexiao/.qwenpaw/workspaces/intent/MEMORY.md
2026-07-18 23:23:32 | INFO | full_file_watcher.py:69 | _on_changes | Upserted 1 chunks for /Users/gracexiao/.qwenpaw/workspaces/intent/MEMORY.md
2026-07-18 23:23:32 | INFO | full_file_watcher.py:78 | _on_changes | File 2 changed: /Users/gracexiao/.qwenpaw/workspaces/intent/MEMORY.md
2026-07-18 23:23:32 | INFO | base_file_watcher.py:223 | on_changes | [FullFileWatcher] on_changes: {(<Change.modified: 2>, '/Users/gracexiao/.qwenpaw/workspaces/intent/MEMORY.md')}
2026-07-18 23:23:34 | INFO | full_file_watcher.py:66 | _on_changes | delete_file /Users/gracexiao/.qwenpaw/workspaces/photo/MEMORY.md
2026-07-18 23:23:34 | INFO | full_file_watcher.py:69 | _on_changes | Upserted 1 chunks for /Users/gracexiao/.qwenpaw/workspaces/photo/MEMORY.md
2026-07-18 23:23:34 | INFO | full_file_watcher.py:78 | _on_changes | File 2 changed: /Users/gracexiao/.qwenpaw/workspaces/photo/MEMORY.md
2026-07-18 23:23:34 | INFO | base_file_watcher.py:223 | on_changes | [FullFileWatcher] on_changes: {(<Change.modified: 2>, '/Users/gracexiao/.qwenpaw/workspaces/photo/MEMORY.md')}
2026-07-18 23:23:38 | INFO | full_file_watcher.py:66 | _on_changes | delete_file /Users/gracexiao/.qwenpaw/workspaces/guide/MEMORY.md
2026-07-18 23:23:38 | INFO | full_file_watcher.py:69 | _on_changes | Upserted 1 chunks for /Users/gracexiao/.qwenpaw/workspaces/guide/MEMORY.md
2026-07-18 23:23:38 | INFO | full_file_watcher.py:78 | _on_changes | File 2 changed: /Users/gracexiao/.qwenpaw/workspaces/guide/MEMORY.md
2026-07-18 23:23:38 | INFO | base_file_watcher.py:223 | on_changes | [FullFileWatcher] on_changes: {(<Change.modified: 2>, '/Users/gracexiao/.qwenpaw/workspaces/guide/MEMORY.md')}
